date,Open,High,Low,Close,Adj Close,Volume,MACD,Signal,Crossover,RSI EWMA,Daily Change,5 Day Change
2009-04-06,83.339996,84.279999,82.290001,83.599998,68.352074,264866600,0.0,0.0,0.0,,,
2009-04-07,82.25,82.650002,81.510002,81.650002,66.757751,258947800,-0.04374991025640895,-0.02430550569800497,-0.01944440455840398,0.0,-0.023325311562806483,
2009-04-08,82.059998,82.940002,81.540001,82.529999,67.47721899999999,230402800,-0.028457415134141684,-0.02600710792592985,-0.002450307208211832,-122.99835692440658,0.010777672730491794,
2009-04-09,84.66999799999998,85.82,84.33000200000002,85.809998,70.158974,269653500,0.09761844504021155,0.015871466927099075,0.08174697811311248,148.4434048571694,0.039743112077342824,
2009-04-13,84.91999799999998,86.540001,84.58000200000002,85.83000200000002,70.175331,224847500,0.16486707286600222,0.06019429115928111,0.1046727817067211,148.00781252081646,0.00023311968845440845,
2009-04-14,85.029999,85.760002,84.08000200000002,84.349998,68.96528599999999,276598800,0.13890782770700127,0.08153003595168509,0.05737779175531618,791.891881534569,-0.017243434294688997,0.008971292080652837
2009-04-15,83.839996,85.41999799999998,83.610001,85.25,69.701111,250726100,0.1606388791353055,0.10155037372956477,0.05908850540574073,263.4380724413906,0.010669852060933183,0.04409060516618246
2009-04-16,85.93,87.150002,84.769997,86.5,70.723137,335202900,0.23207711724639069,0.1329184047526139,0.09915871249377678,171.16712928218956,0.014662756598240456,0.04810373255911471
2009-04-17,86.83000200000002,87.650002,86.139999,87.08000200000002,71.19735,262649000,0.30679161193353366,0.17308397820083526,0.1337076337326984,153.90752678426566,0.006705225433526252,0.014800186803407556
2009-04-20,85.540001,87.050003,83.339996,83.43,68.213081,293690100,0.16731939138692553,0.17179237612071419,-0.004472984733788654,-177.85157710536708,-0.041915502023070816,-0.02796227361150494
2009-04-21,82.82,85.129997,82.75,85.059998,69.545753,114090900,0.1510271094914657,0.16724905443364071,-0.01622194494217502,1673.862638389366,0.01953731271724779,0.008417309031827136
2009-04-22,84.290001,86.339996,84.07,84.540001,69.120621,340395200,0.1084637959574195,0.1546244462714969,-0.0461606503140774,-1047.1367724954268,-0.006113296640331334,-0.00832843401759531
2009-04-23,84.709999,85.41999799999998,83.629997,85.370003,69.79921,324903700,0.12234416700763973,0.14779281766420738,-0.02544865065656765,628.3183427310915,0.009817861251267157,-0.013063549132948049
2009-04-24,86.029999,87.309998,85.690002,86.660004,70.853943,287703000,0.2059083328720277,0.15995062680658445,0.04595770606544325,239.97185111433126,0.01511070580611329,-0.004823128047241165
2009-04-27,85.68,87.010002,85.540001,85.839996,70.183487,289581600,0.21764047422875876,0.1719093566930547,0.04573111753570405,559.487790765487,-0.009462358206214772,0.028886443725278488
2009-04-28,84.970001,86.589996,84.760002,85.57,69.962761,247926300,0.20743207847721123,0.17921966802096306,0.02821241045624817,1205.333794666248,-0.0031453403143215652,0.005995791347185309
2009-04-29,86.519997,88.360001,86.300003,87.389999,71.45079799999998,311505700,0.3097023603142759,0.20591738563511938,0.10378497467915651,205.1649378214646,0.02126912469323372,0.033711828321364656
2009-04-30,88.550003,89.019997,86.91999799999998,87.41999799999998,71.47532700000002,301419800,0.3861143222255663,0.24261791083975232,0.14349641138581398,203.28219439490715,0.0003432772667726347,0.024013059950343196
2009-05-01,87.440002,88.209999,86.720001,87.889999,71.859612,236110300,0.47029125500604607,0.28881839887525435,0.18147285613079173,176.91457166765952,0.005376355648052389,0.014193341140395166
