date,Open,High,Low,Close,,,,,,,,,,,
05-04-2005,5.888571,6.034286,5.87,5.984286,,,,,,,,,,,
06-04-2005,6.057143,6.115714,6.021429,6.047143,,,,,,,,,,,
07-04-2005,6.047143,6.25,6.035714,6.222857,,,,,,,,,,,
08-04-2005,6.242857,6.35,6.22,6.248571,,,,,,,,,,,
11-04-2005,6.307143,6.321429,5.987143,5.988572,,,,,,,,,,,
12-04-2005,6.07,6.17,6.001429,6.094285,,,,,,,,,,,
13-04-2005,6.135714,6.141428,5.77,5.862857,,,,,,,,,,,
14-04-2005,5.544286,5.651429,5.262857,5.322857,,,,,,,,,,,
15-04-2005,5.231429,5.321429,5.04,5.05,,,,,,,,,,,
18-04-2005,5,5.185714,4.857143,5.088572,,,,,,,,,,,
19-04-2005,5.228571,5.348571,5.124286,5.298572,,,,,,,,,,,
20-04-2005,5.38,5.391428,5.062857,5.072857,,,,,,,,,,,
21-04-2005,5.2,5.315714,5.128572,5.311429,,,,,,,,,,,
22-04-2005,5.262857,5.285714,4.985714,5.071429,,,,,,,,,,,
25-04-2005,5.212857,5.288571,5.158571,5.282857,,,,,,,,,,,
26-04-2005,5.254286,5.358572,5.16,5.17,,,,,,,,,,,
27-04-2005,5.127143,5.194286,5.072857,5.135714,,,,,,,,,,,
28-04-2005,5.184286,5.191429,5.034286,5.077143,,,,,,,,,,,
29-04-2005,5.164286,5.175714,5.031428,5.151429,,,,,,,,,,,
02-05-2005,5.172857,5.235714,5.145714,5.204286,,,,,,,,,,,
03-05-2005,5.2,5.248571,5.147143,5.172857,,,,,,,,,,,
04-05-2005,5.158571,5.314286,5.157143,5.307143,,,,,,,,,,,
05-05-2005,5.321429,5.324286,5.21,5.24,,,,,,,,,,,
06-05-2005,5.27,5.332857,5.255714,5.32,,,,,,,,,,,
09-05-2005,5.325714,5.35,5.25,5.281428,,,,,,,,,,,
10-05-2005,5.25,5.321429,5.19,5.202857,,,,,,,,,,,
11-05-2005,5.028572,5.095714,4.73,5.087143,,,,,,,,,,,
12-05-2005,5.06,5.084286,4.857143,4.875714,,,,,,,,,,,
13-05-2005,4.885714,5.032857,4.867143,4.967143,,,,,,,,,,,
16-05-2005,4.937143,5.1,4.932857,5.078571,,,,,,,,,,,
17-05-2005,5.02,5.065714,4.934286,5.051429,,,,,,,,,,,
18-05-2005,5.064286,5.365714,4.998571,5.12,,,,,,,,,,,
19-05-2005,5.111429,5.382857,5.111429,5.364286,,,,,,,,,,,
20-05-2005,5.321429,5.378572,5.312857,5.364286,,,,,,,,,,,
23-05-2005,5.407143,5.7,5.407143,5.68,,,,,,,,,,,
24-05-2005,5.635714,5.712857,5.575714,5.671429,,,,,,,,,,,
25-05-2005,5.642857,5.707143,5.617143,5.682857,,,,,,,,,,,
26-05-2005,5.705714,5.848571,5.705714,5.82,,,,,,,,,,,
