level_0,index,date,Open,High,Low,Close,Adj Close,Volume,30 mavg,26 ema,12 ema,MACD,Signal,Crossover,RSI SMA,RSI EWMA,Daily Change,5 Day Change
0,0,2005-03-21,6.184286,6.281428,6.122857,6.242857,4.162756,135282000,,6.242857,6.242857,0.0,0.0,0.0,,,,
1,1,2005-03-22,6.244286,6.28,6.097143,6.118571,4.079882,137853800,,6.178323884615384,6.175535416666666,-0.002788467948718676,-0.0015491488603992644,-0.0012393190883194115,,0.0,-0.019908513041384635,
2,2,2005-03-23,6.064286,6.2,6.002857,6.078571,4.05321,152455800,,6.142483641695415,6.137690182448036,-0.004793459247379062,-0.0028787842648991813,-0.0019146749824798803,,0.0,-0.0065374741912777035,
3,3,2005-03-24,6.13,6.142857,6.071429,6.071429,4.048447,88176200,,6.122619868935348,6.116774116666667,-0.005845752268681004,-0.003883854726884893,-0.001961897541796111,,0.0,-0.0011749472038740105,
4,4,2005-03-28,6.107143,6.137143,6.067143,6.075714,4.051305,68852700,,6.111742204461345,6.1056182297162325,-0.006123974745112726,-0.004550239787043101,-0.0015737349580696247,,-4.44466059013881,0.0007057646560635344,
5,5,2005-03-29,6.08,6.118571,5.928571,5.964286,3.977003,115339000,,6.082207902776235,6.071267062434212,-0.010940840342022362,-0.006282447847959936,-0.004658392494062426,,-1.8422374947128901,-0.018339902108624462,-0.04462235800051151
6,6,2005-03-30,6.01,6.114286,5.974286,6.114286,4.077024,98739900,,6.087912826079034,6.080866587840241,-0.007046238238793023,-0.00647574281980631,-0.0005704954189867132,,-2679.1654705863075,0.025149699394026337,-0.0007003269227406905
7,7,2005-03-31,6.064286,6.074286,5.941429,5.952857,3.969383,159033700,,6.066151986040446,6.054152959883346,-0.011999026157099912,-0.007803091671124141,-0.004195934485975771,,-75.30172200407077,-0.026401938018601023,-0.020681505570964043
8,8,2005-04-01,6.012857,6.025714,5.795714,5.841429,3.895082,160321000,,6.03284310617969,6.012068589140027,-0.020774517039662932,-0.01079955528282969,-0.009974961756833241,,-41.375953775194176,-0.0187184069766837,-0.03788235026712827
9,9,2005-04-04,5.855714,5.901429,5.737143,5.87,3.914134,145003600,,6.0103723424280195,5.9851466467121535,-0.02522569571586608,-0.014031848176132712,-0.011193847539733369,,-64.61856238591153,0.004891097709139425,-0.03385840742339086
10,10,2005-04-05,5.888571,6.034286,5.87,5.984286,3.99034,139059900,,6.0069889355509405,5.984989169115487,-0.02199976643545387,-0.015775183163096593,-0.006224583272357278,-114.91698605025286,-738.8689762548514,0.019469505962521172,0.0033532932525368597
11,11,2005-04-06,6.057143,6.115714,6.021429,6.047143,4.032253,103706400,,6.011922495052472,5.996039916204455,-0.015882578848017026,-0.01579824725221638,-8.433159580064492e-05,-504.00263202105475,578.4520406936633,0.010503675793570144,-0.010981331262554517
12,12,2005-04-07,6.047143,6.25,6.035714,6.222857,4.14942,126746900,,6.036633434260067,6.035423978615116,-0.0012094556449513405,-0.012710752089138033,0.011501296444186692,371.28550240494496,175.16474115871858,0.029057358160704982,0.045356372578746695
13,13,2005-04-08,6.242857,6.35,6.22,6.248571,4.166566,162487500,,6.060436545112148,6.07171611095451,0.011279565842362338,-0.007691959678314169,0.018971525520676505,316.93613033611433,165.3174100712791,0.0041321855861382595,0.0696990411079208
14,14,2005-04-11,6.307143,6.321429,5.987143,5.9885720000000005,3.993199,205415700,,6.05266256168392,6.057788048992123,0.005125487308203169,-0.005034986342534525,0.010160473650737694,-639.3495673727994,-267.0560815212622,-0.04160935356259854,0.020199659284497518
15,15,2005-04-12,6.07,6.17,6.001429,6.094285,4.063689,245265300,,6.057016610651951,6.063819457908389,0.006802847256437872,-0.0025988484367094394,0.009401695693147312,509.89238378756784,1324.6931157922807,0.017652455376674148,0.018381307310513018
16,16,2005-04-13,6.135714,6.1414279999999986,5.77,5.862857,3.909371,342986700,,6.037307714600299,6.030983541870891,-0.006324172729407884,-0.0033610771602251093,-0.002963095569182775,-203.97607276805792,-124.93266631120392,-0.03797459423049632,-0.03047488706650403
17,17,2005-04-14,5.5442860000000005,5.651429,5.262857,5.322857,3.549297,688298100,,5.96672124361089,5.916374606892363,-0.050346636718527016,-0.012930577871230309,-0.03741605884729671,-81.40555555555557,-30.31743192632129,-0.09210526540217512,-0.14462810249375813
18,18,2005-04-15,5.231429,5.321429,5.04,5.05,3.367356,432021800,,5.878336050869571,5.777266657591658,-0.1010693932779132,-0.030816098469045764,-0.07025329480886744,-64.8011381943295,-20.65628338323799,-0.05126138087121257,-0.19181521663113055
19,19,2005-04-18,5.0,5.185714,4.857143,5.088572,3.393075,331794400,,5.803855298063843,5.667425401550047,-0.13642989651379622,-0.052185227360330634,-0.0842446691534656,-66.91032315197307,-27.686497573410165,0.007638019801980311,-0.1502862452016942
20,20,2005-04-19,5.228571,5.348571,5.124286,5.298572,3.533104,270410700,,5.757148290012178,5.608926525036861,-0.14822176497531636,-0.07157134021453052,-0.07665042476078585,-90.2081625867344,-108.54196350418135,0.041268945393717615,-0.13056708046965315
21,21,2005-04-20,5.38,5.3914279999999986,5.062857,5.072857,3.382596,236282900,,5.695034872863685,5.524309711714786,-0.17072516114889869,-0.09154951732952396,-0.07917564381937472,-57.03797447566728,-59.25198578417448,-0.04259921352394569,-0.13474659197725614
22,22,2005-04-21,5.2,5.315714,5.128572,5.311429,3.5416769999999995,189898100,,5.660786622529879,5.490841084047955,-0.16994553848192417,-0.10732182483037844,-0.06262371365154573,-67.86833408672985,-285.260320862901,0.04702911988254366,-0.0021469673147332946
23,23,2005-04-22,5.262857,5.285714,4.985714,5.071429,3.381644,209782300,,5.608957006193396,5.425123630669111,-0.18383337552428536,-0.12269674095775669,-0.061136634566528666,-50.36410220687057,-103.92208337637598,-0.04518558000116357,0.0042433663366336916
24,24,2005-04-25,5.212857,5.288571,5.158571,5.282857,3.522625,186615100,,5.580671218759104,5.402895151387594,-0.17777606737150986,-0.13375438082281002,-0.04402168654869984,-113.96739476984328,-546.2682882858618,0.041690024645913315,0.0381806526467543
25,25,2005-04-26,5.2542860000000005,5.3585720000000014,5.16,5.17,3.447372,202626900,,5.545495279441268,5.366593489695153,-0.17890178974611537,-0.14281123527043665,-0.036090554475678716,-75.57971837690758,-226.18041578817116,-0.021362872400293997,-0.024265405848972188
26,26,2005-04-27,5.127143,5.194286,5.072857,5.135714,3.42451,153472200,,5.510797392527931,5.330678743067357,-0.18011864946057443,-0.15029080259257474,-0.02982784686799969,-96.07078662656457,-185.76358096523228,-0.006631721470019336,0.012390847997489463
27,27,2005-04-28,5.184286,5.191429,5.034286,5.077143,3.385454,143776500,,5.474463215257823,5.291307004013703,-0.1831562112441203,-0.15687662315251305,-0.026279588091607242,-284.30288872428974,-135.2878945808929,-0.011404645975223615,-0.04410978665063581
28,28,2005-04-29,5.164286,5.175714,5.031428,5.151429,3.434988,167907600,,5.4476577956858145,5.269616585513487,-0.17804121017232788,-0.16111610083042996,-0.01692510934189792,761.9694564670815,-306.5151566472499,0.014631457100972023,0.0157746465542552
29,29,2005-05-02,5.172857,5.235714,5.145714,5.204286,3.470234,116480000,5.667190533333335,5.42764104386209,5.259498337780622,-0.16814270608146842,-0.16252316374015138,-0.005619542341317035,680.2487166634996,-1007.2984195287979,0.01026064806483773,-0.014872823549832992
30,30,2005-05-03,5.2,5.248571,5.147143,5.172857,3.449276,124184900,5.631523866666668,5.406855552984171,5.2460933579807705,-0.16076219500340017,-0.16217062085123493,0.0014084258478347655,-459.0884142703718,-447.1297737259888,-0.006039060881742553,0.0005526112185685328
31,31,2005-05-04,5.158571,5.314286,5.157143,5.307143,3.538819,112044100,5.604476266666667,5.398781530903253,5.255530611819119,-0.14325091908413423,-0.15838368017430093,0.015132761090166702,303.6583491971351,387.343560590872,0.025959735596789324,0.033379779325717784
32,32,2005-05-05,5.321429,5.324286,5.21,5.24,3.494047,96841500,5.576523900000001,5.386012609464232,5.2531316072872825,-0.13288100217694954,-0.15327990967596283,0.020398907499013297,-661.9958280250297,5700.975568272109,-0.012651439767121353,0.032076504443542264
