index,date,Open,High,Low,Close,Adj Close,Volume,30 mavg,26 ema,12 ema,MACD,Signal,Crossover
0,2016-01-04,102.610001,105.370003,102.0,105.349998,99.499107,67649400,,105.349998,105.349998,0.0,0.0,0.0
1,2016-01-05,105.75,105.849998,102.410004,102.709999,97.00573,55791000,,103.97922928846154,103.91999854166666,-0.059230746794881384,-0.03290597044160077,-0.026324776353280614
2,2016-01-06,100.559998,102.370003,99.870003,100.699997,95.107361,68457400,,102.8010329659931,102.66323119630484,-0.13780176968826652,-0.07589605210007033,-0.061905717588196185
3,2016-01-07,98.68,100.129997,96.43,96.449997,91.093399,81094400,,101.02556084750313,100.70195597658044,-0.3236048709226935,-0.1598082535982489,-0.16379661732444462
4,2016-01-08,98.550003,99.110001,96.760002,96.959999,91.575073,70798000,,100.08274028625515,99.68527963971042,-0.39746064654472946,-0.23050446758756368,-0.16695617895716577
5,2016-01-11,98.970001,99.059998,97.339996,98.529999,93.057869,49739400,,99.77173859083847,99.40448566517216,-0.36725292566630685,-0.2675709027940926,-0.09968202287221423
6,2016-01-12,100.550003,100.690002,98.839996,99.959999,94.408447,49154200,,99.80521972869175,99.52844652224614,-0.2767732064456112,-0.2698997603531697,-0.006873446092441504
7,2016-01-13,100.32,101.190002,97.300003,97.389999,91.981194,62439600,,99.41606782417351,99.08218548447199,-0.3338823397015176,-0.28527597736324906,-0.04860636233826854
8,2016-01-14,97.959999,100.480003,95.739998,99.519997,93.992889,63170100,,99.43147240958164,99.16880018525737,-0.2626722243242767,-0.28005439827344936,0.01738217394917263
9,2016-01-15,96.199997,97.709999,95.360001,97.129997,91.735634,79010000,,99.11389120260122,98.78244777402054,-0.331443428580684,-0.29156852419138535,-0.03987490438929864
10,2016-01-19,98.410004,98.650002,95.5,96.660004,91.291718,53087700,,98.79562125503126,98.39409173910879,-0.4015295159224763,-0.3156273608720705,-0.08590215505040583
11,2016-01-20,95.099998,98.190002,93.419998,96.790001,91.41452,72334400,,98.54919920532252,98.10888967169988,-0.4403095336226386,-0.3424038626104673,-0.09790567101217129
12,2016-01-21,97.059998,97.879997,94.940002,96.300003,90.951736,52161500,,98.28570627556452,97.79479822682329,-0.4909080487412325,-0.3738325078827251,-0.11707554085850741
13,2016-01-22,98.629997,101.459999,98.370003,101.419998,95.787369,65800500,,98.63772453669264,98.41205400206256,-0.22567053463008335,-0.34283691253229104,0.11716637790220769
14,2016-01-25,101.519997,101.529999,99.209999,99.440002,93.917336,51794500,,98.72451130609137,98.58425288957268,-0.14025841651869086,-0.30084370882513634,0.16058529230644547
15,2016-01-26,99.93,100.879997,98.07,99.989998,94.43679,75077000,,98.85689160999925,98.81656335274528,-0.04032825725397515,-0.2472315709859343,0.20690331373195914
16,2016-01-27,96.040001,96.629997,93.339996,93.419998,88.231659,133369700,,98.30499942890371,97.93480081531456,-0.37019861358915307,-0.2723915314494181,-0.09780708213973499
17,2016-01-28,93.790001,94.519997,92.389999,94.089996,88.864449,55678800,,97.88856452139436,97.31252646316374,-0.5760380582306226,-0.33423490803667383,-0.24180315019394877
18,2016-01-29,94.790001,97.339996,94.349998,97.339996,91.93396,64416500,,97.83567457820479,97.31693706212074,-0.5187375160840446,-0.3716749982098362,-0.14706251787420843
19,2016-02-01,96.470001,96.709999,95.400002,96.43,91.074501,40943500,,97.7031087812819,97.17547773778986,-0.5276310434920362,-0.4032300118037824,-0.12440103168825378
20,2016-02-02,95.419998,96.040001,94.279999,94.480003,89.232796,37357200,,97.4051736857532,96.74798474689499,-0.6571889388582122,-0.4544946298593218,-0.20269430899889035
21,2016-02-03,95.0,96.839996,94.080002,96.349998,90.998932,45964300,,97.30939493116321,96.6851638464449,-0.6242310847183177,-0.48869426963204127,-0.1355368150862764
22,2016-02-04,95.860001,97.330002,95.190002,96.599998,91.73011,46471700,,97.246060124782,96.67177426322885,-0.5742858615531503,-0.5059142367607691,-0.06837162479238124
23,2016-02-05,96.519997,96.919998,93.690002,94.019997,89.28019,46418100,,96.96235188441518,96.256268713209,-0.7060831712061884,-0.5461379748825751,-0.15994519632361326
24,2016-02-08,93.129997,95.699997,93.040001,95.010002,90.220276,54021400,,96.79300581640199,96.06154551154519,-0.731460304856796,-0.5833429974787814,-0.14811730737801465
25,2016-02-09,94.290001,95.940002,93.93,94.989998,90.201294,44331200,,96.6385696381595,95.89452204618007,-0.7440475919794238,-0.6155813508232599,-0.1284662411561639
26,2016-02-10,95.919998,96.349998,94.099998,94.269997,89.517586,42343600,,96.43801273215115,95.64181702893882,-0.7961957032123337,-0.6517917727290367,-0.14440393048329703
27,2016-02-11,93.790001,94.720001,92.589996,93.699997,88.976318,50074700,,96.20860528074637,95.34027046771794,-0.8683348130284259,-0.6951843141708788,-0.17315049885754707
28,2016-02-12,94.190002,94.5,93.010002,93.989998,89.25168599999998,40351400,,96.02450497119106,95.13088819120752,-0.8936167799835459,-0.7349323143845948,-0.1586844655989511
29,2016-02-16,95.019997,96.849998,94.610001,96.639999,91.768089,49057900,97.22099880000002,96.07512789234318,95.36461573091484,-0.7105121614283405,-0.7300422301622898,0.019530068733949246
30,2016-02-17,96.669998,98.209999,96.150002,98.120003,93.173508,44863200,96.97999896666668,96.24195047766838,95.79092390700022,-0.4510265706681622,-0.6741837787326184,0.22315720806445616
31,2016-02-18,98.839996,98.889999,96.089996,96.260002,91.407272,39021000,96.76499906666668,96.24341216313864,95.86343553667126,-0.37997662646738206,-0.6152956923307751,0.23531906586339302
32,2016-02-19,96.0,96.760002,95.800003,96.040001,91.198341,35374200,96.60966586666667,96.22705420798377,95.89070950060938,-0.33634470737439415,-0.5594701116740851,0.22312540429969097
33,2016-02-22,96.309998,96.900002,95.919998,96.879997,91.995995,34280800,96.6239992,96.27923165857659,96.04342897830335,-0.23580268027323825,-0.4947037849647447,0.25890110469150646
34,2016-02-23,96.400002,96.5,94.550003,94.690002,89.91642,31942600,96.54833263333332,96.15297138742612,95.83460618314551,-0.3183652042806102,-0.45942175673695457,0.14105655245634435
35,2016-02-24,93.980003,96.379997,93.32,96.099998,91.255333,36255700,96.46733259999999,96.14878527956998,95.87553574249984,-0.2732495370701429,-0.4221752256131831,0.14892568854304022
